objectID,title,department,objectDate,culture,medium,classification,artistDisplayName,country,period,objectBeginDate,objectEndDate
446246,Plaque for a Collar or Necklace,Islamic Art,8th century?,,"Steatite, gold, mother of pearl",Jewelry,,Egypt,,700,799
383053,The Last Judgment,Drawings and Prints,1558,,Engraving; first state of two,Prints,Pieter Bruegel the Elder,,,1558,1558
219157,Man's handkerchief,European Sculpture and Decorative Arts,19th century,,Silk,Textiles-Woven,,,,1800,1899
704980,Mlle Simon; Bauchet,Photographs,1861,,Albumen silver print from glass negative,Photographs,André-Adolphe-Eugène Disdéri,,,1861,1861
380539,A Seated Woman,Drawings and Prints,1898,,Photographic reproduction of a drawing,Miscellaneous,René-François-Xavier Prinet,,,1898,1898
724800,"Private, City Guards, Springfield, Ohio, from the Military Series (N224) issued by Kinney Tobacco Company to promote Sweet Caporal Cigarettes",Drawings and Prints,1888,,Commercial color lithograph,Prints,Kinney Brothers Tobacco Company,,,1888,1888
346040,Neue Künstliche Figuren Biblischer Historien,Drawings and Prints,1576,,Woodcuts,Books,Tobias Stimmer,Germany,,1576,1576
187939,Pavement tile,European Sculpture and Decorative Arts,16th–17th century,,Tin-glazed earthenware,Ceramics-Pottery,,,,1500,1699
60276,Netsuke of Monkey with a Chestnut,Asian Art,19th century,Japan,Ivory,Netsuke,,,Edo (1615–1868) or Meiji period (1868–1912),1800,1899
59557,Belt hook in the shape of a dragon,Asian Art,3rd–2nd century BCE,North China,Gilt bronze,Metalwork,,,Western Han dynasty (206 BCE–9 CE),-299,-100
549448,Scarab Necklace,Egyptian Art,ca. 1479–1458 B.C.,,Faience,,,Egypt,New Kingdom,-1473,-1458
359161,Dawn (Head of Hypnos),Drawings and Prints,1901 (?),,"Blue, red, brown and black chalk; framing lines in black chalk",Drawings,Simeon Solomon,,,1901,1901
310198,"Bottle, Sleeping Figure",The Michael C. Rockefeller Wing,3rd–6th century,Moche,"Ceramic, slip, pigment",Ceramics-Containers,,Peru,,200,600
353694,"Architecture ou Art de bien bastir de Marc Vitruve Pollion autheur romain antique: mis Latin en Francois, par Ian Martin Secretaire de Monseigneur le Cardinal de Lenoncourt",Drawings and Prints,1572,,Printed book with woodcut illustrations,Books,Marcus Pollio Vitruvius,France,,1572,1572
348409,Spain,Drawings and Prints,1876,,,Books,baron Jean-Charles Davillier,,,1876,1876
377367,"Two eagles, from 'Eagles'  (Les aigles)",Drawings and Prints,ca. 1651,,Etching,Prints,Stefano della Bella,,,1646,1656
776000,"Windy McCall, Pitcher, New York Giants, from the ""1957 Topps Regular Issue"" series (R414-12), issued by Topps Chewing Gum Company.",Drawings and Prints,1957,,Commercial color lithograph,Prints,Topps Chewing Gum Company,,,1957,1957
651797,"Balaam on Mount Peor Seeing the Israelite Camp, from ""The Story of Balaam""",Drawings and Prints,1584–85,,Etching; second state of three,Prints,Maerten de Vos,,,1584,1585
